chr10	101736344	101736621	ERLIN1
chr10	101736697	101737363	ERLIN1
chr10	101743137	101743649	ERLIN1
chr10	101768517	101768726	ERLIN1
chr10	101768851	101770468	ERLIN1
chr10	101805781	101806115	ERLIN1
chr10	101860217	101861072	ERLIN1
chr10	101861305	101861763	ERLIN1
chr10	101874785	101875251	ERLIN1
chr10	101938803	101939034	"ERLIN1,HIF1AN"
chr10	101945097	101946486	CWF19L1
chr10	101988492	101989683	"CWF19L1,HIF1AN"
chr10	102000259	102000466	"BLOC1S2,CWF19L1"
chr10	102000562	102000797	"BLOC1S2,CWF19L1"
chr10	102026814	102027790	HIF1AN
chr10	102040051	102040333	BLOC1S2
chr10	102040507	102040970	BLOC1S2
chr10	102045323	102047169	"BLOC1S2,CWF19L1"
chr10	102063450	102063844	BLOC1S2
chr10	102086669	102087723	"BLOC1S2,CWF19L1"
chr10	102098246	102098534	"BLOC1S2,CWF19L1"
chr10	102106053	102107096	BLOC1S2
chr10	102107211	102107452	CWF19L1
chr10	102130724	102131369	BLOC1S2
chr10	102193275	102194050	"HIF1AN,SEC31B"
chr10	102241267	102242879	SEC31B
chr10	102268500	102268803	SEC31B
chr10	102278482	102280118	HIF1AN
chr10	102288740	102290237	"HIF1AN,SEC31B"
chr10	102295171	102296353	"CWF19L1,HIF1AN,SEC31B"
chr10	102296440	102296794	"CWF19L1,HIF1AN,SEC31B"
chr10	102321734	102322317	SEC31B
chr10	102322441	102323323	SEC31B
chr10	102638082	102638684	HIF1AN
chr10	102671865	102673552	HIF1AN
chr10	102728772	102729682	SFXN3
chr10	102729887	102730254	SFXN3
chr10	102767669	102767958	PDZD7
chr10	102768126	102768450	"PDZD7,SFXN3"
chr10	102768566	102768918	"PDZD7,SFXN3"
chr10	102777874	102779241	PDZD7
chr10	102790689	102792950	PDZD7
chr10	102807500	102809352	PDZD7
chr10	102822283	102822638	PDZD7
chr10	102825922	102826766	"PDZD7,SFXN3"
chr10	102826957	102827158	SFXN3
chr10	102855385	102855721	SFXN3
chr10	102881140	102881418	"PDZD7,SFXN3"
chr10	102881476	102881756	"PDZD7,SFXN3"
chr10	102883034	102883472	SFXN3
chr10	103362372	103362950	NPM3
chr10	103539672	103539932	MGEA5
chr10	103540868	103541159	NPM3
chr10	103542671	103543432	NPM3
chr10	103589266	103590959	"MGEA5,NPM3"
chr10	103599518	103600291	NPM3
chr10	103600434	103600774	NPM3
chr10	103603278	103603922	NPM3
chr10	103649323	103649760	NPM3
chr10	103769348	103769942	NPM3
chr10	103815092	103816418	"NOLC1,NPM3,PPRC1"
chr10	103832569	103833010	NOLC1
